stock,initial_state, initial_state_cv, terminal_state, terminal_state_cv
Lutjanidae,0.75,0.1,0.25,0.31
Serranidae,0.75,0.1,0.3,0.31
Leiognathidae,0.75,0.1,0.45,0.2
